,/,Nan
填写时长,0.0,0.013513513513513514
开始年龄结束年龄,0.0,0.002702702702702703
投保人符合条件集合,0.0,0.005405405405405406
投保范围_开始年龄结束年龄,0.0,0.002702702702702703
投保范围_投保人符合条件集合,0.0,0.005405405405405406
等待期,0.0,0.005405405405405406
重大疾病保险金_给付范围集合,0.0,0.002702702702702703
重大疾病保险金_是否有多次给付,0.0,0.002702702702702703
重大疾病保险金_给付次数,0.0,0.002702702702702703
重大疾病保险金_给付金,0.0,0.002702702702702703
重大疾病保险金_给付金可能格式,0.0,0.002702702702702703
重大疾病保险金_等待期,0.0,0.002702702702702703
身故保险金_给付金,0.0891891891891892,0.002702702702702703
身故保险金_可能格式,0.0972972972972973,0.002702702702702703
身故保险金_给付时间,0.0972972972972973,0.005405405405405406
疾病的集合,0.0,0.008108108108108109
是否有多次给付_单项,0.0,0.002702702702702703
是否有多次给付_是否有多次给付给付次数,0.0,0.002702702702702703
犹豫期_时间长度,0.0,0.005405405405405406
犹豫期_工本费,0.016216216216216217,0.005405405405405406
犹豫期_工本费大小,0.02972972972972973,0.005405405405405406
责任免除_免除范围集合,0.0,0.008108108108108109
责任免除_是否有退还,0.0,0.005405405405405406
责任免除_退还条件集合,0.024324324324324326,0.005405405405405406
责任免除_退还金可能格式,0.024324324324324326,0.005405405405405406
保险期间,0.0,0.002702702702702703
续保_是否有等待期,0.002702702702702703,0.002702702702702703
续保_宽限期,0.002702702702702703,0.002702702702702703
续保_是否需要体检,0.002702702702702703,0.002702702702702703
续保_可续保年龄上限,0.002702702702702703,0.002702702702702703
续保_是否承诺续保,0.0,0.002702702702702703
续保_是否有自动续保,0.0,0.005405405405405406
缴费方式_缴费方式集合,0.0,0.002702702702702703
缴费方式_是否有最低保费和最低保金要求,0.002702702702702703,0.002702702702702703
缴费方式_最低保费要求,0.25135135135135134,0.002702702702702703
缴费方式_最低保金要求,0.25135135135135134,0.005405405405405406
观察期,0.0,0.008108108108108109
重大疾病保险金给付日_是否立即给付,0.0,0.002702702702702703
重大疾病保险金给付日_时间长度,0.032432432432432434,0.005405405405405406
给付总额的保证_单项,0.0,0.005405405405405406
给付总额的保证_比例,0.24594594594594596,0.008108108108108109
基本保险金额的变更_单项,0.0,0.002702702702702703
基本保险金额的变更_是否需要支付费用,0.1837837837837838,0.002702702702702703
基本保险金额的变更_不可变更保金的条件范围集合,0.20810810810810812,0.002702702702702703
基本保险金额的变更_保金可变更范围,0.20810810810810812,0.002702702702702703
保险费率的调整,0.0,0.005405405405405406
宽限期,0.0,0.002702702702702703
保单贷款政策_是否可以贷款,0.0,0.005405405405405406
保单贷款政策_可贷款的最高金额,0.1783783783783784,0.002702702702702703
保单贷款政策_可贷款最长期限,0.1783783783783784,0.002702702702702703
保单贷款政策_是否可以未偿还完再增加贷款,0.1783783783783784,0.002702702702702703
保单贷款政策_计息方式,0.17567567567567569,0.002702702702702703
保单贷款政策_政策复利间隔,0.1837837837837838,0.002702702702702703
保单贷款政策_利率上限,0.1837837837837838,0.005405405405405406
退保_解除合同_退保返还金额,0.0,0.002702702702702703
退保_解除合同_退保费用,0.002702702702702703,0.002702702702702703
退保_解除合同_退还时长,0.002702702702702703,0.002702702702702703
首个重大疾病保险金给付日,0.0,0.002702702702702703
自动垫交保险费,0.0,0.002702702702702703
保单备案时间,0.0,0.002702702702702703
